"Checked"	"Protein FDR Confidence Combined"	"Master"	"Accession"	"Description"	"Exp q-value Combined"	"Sum PEP Score"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT Sequest HT"	"Number of Peptides by Search Engine Sequest HT"	"Biological Process"	"Cellular Component"	"Molecular Function"	"Pfam IDs"	"Entrez Gene ID"	"Gene Symbol"	"Gene ID"	"Ensembl Gene ID"	"WikiPathways"	"Reactome Pathways"	"Number of Protein Pathway Groups"	"Number of Razor Peptides"	"Abundance Ratio Con_Abeta  Con"	"Abundance Ratio siIft88  Con"	"Abundance Ratio siIft88_Abeta  Con_Abeta"	"Abundance Ratio siIft88_Abeta  siIft88"	"Abundance Ratio log2 Con_Abeta  Con"	"Abundance Ratio log2 siIft88  Con"	"Abundance Ratio log2 siIft88_Abeta  Con_Abeta"	"Abundance Ratio log2 siIft88_Abeta  siIft88"	"Abundance Ratio P-Value Con_Abeta  Con"	"Abundance Ratio P-Value siIft88  Con"	"Abundance Ratio P-Value siIft88_Abeta  Con_Abeta"	"Abundance Ratio P-Value siIft88_Abeta  siIft88"	"Abundance Ratio Adj P-Value Con_Abeta  Con"	"Abundance Ratio Adj P-Value siIft88  Con"	"Abundance Ratio Adj P-Value siIft88_Abeta  Con_Abeta"	"Abundance Ratio Adj P-Value siIft88_Abeta  siIft88"	"Abundance Ratio Variability in Percent Con_Abeta  Con"	"Abundance Ratio Variability in Percent siIft88  Con"	"Abundance Ratio Variability in Percent siIft88_Abeta  Con_Abeta"	"Abundance Ratio Variability in Percent siIft88_Abeta  siIft88"	"Abundance Ratio Weight Con_Abeta  Con"	"Abundance Ratio Weight siIft88  Con"	"Abundance Ratio Weight siIft88_Abeta  Con_Abeta"	"Abundance Ratio Weight siIft88_Abeta  siIft88"	"Abundances Normalized F1 Sample Con"	"Abundances Normalized F2 Sample Con"	"Abundances Normalized F3 Sample Con"	"Abundances Normalized F4 Sample Con"	"Abundances Normalized F5 Sample Con_Abeta"	"Abundances Normalized F6 Sample Con_Abeta"	"Abundances Normalized F7 Sample Con_Abeta"	"Abundances Normalized F8 Sample Con_Abeta"	"Abundances Normalized F9 Sample siIft88"	"Abundances Normalized F10 Sample siIft88"	"Abundances Normalized F11 Sample siIft88"	"Abundances Normalized F12 Sample siIft88"	"Abundances Normalized F13 Sample siIft88_Abeta"	"Abundances Normalized F14 Sample siIft88_Abeta"	"Abundances Normalized F15 Sample siIft88_Abeta"	"Abundances Normalized F16 Sample siIft88_Abeta"	"Found in Sample F1 Sample Con"	"Found in Sample F2 Sample Con"	"Found in Sample F3 Sample Con"	"Found in Sample F4 Sample Con"	"Found in Sample F5 Sample Con_Abeta"	"Found in Sample F6 Sample Con_Abeta"	"Found in Sample F7 Sample Con_Abeta"	"Found in Sample F8 Sample Con_Abeta"	"Found in Sample F9 Sample siIft88"	"Found in Sample F10 Sample siIft88"	"Found in Sample F11 Sample siIft88"	"Found in Sample F12 Sample siIft88"	"Found in Sample F13 Sample siIft88_Abeta"	"Found in Sample F14 Sample siIft88_Abeta"	"Found in Sample F15 Sample siIft88_Abeta"	"Found in Sample F16 Sample siIft88_Abeta"	"Number of Protein Groups"	"Modifications"
"False"	"High"	"IsMasterProtein"	"Q8BUV3"	"Gephyrin [OS=Mus musculus]"	"0.000"	"23.578"	"7"	"5"	"29"	"5"	"769"	"83.2"	"5.60"	"52.57"	"5"	"cell organization and biogenesis;protein metabolism;other metabolic processes;other biological processes"	"plasma membrane;other membranes;cytosol;cytoskeleton;other cell component"	"signal transduction activity or receptor binding;cytoskeletal activity;other molecular function"	"Pf00994, Pf03453, Pf03454"	"268566"	"Gphn"	"E9QKJ1; mmu:268566; Q8BUV3"	"ENSMUSG00000047454"	"Splicing factor NOVA regulated synaptic proteins"	"Molybdenum cofactor biosynthesis"	"2"	"0"	"0.548"	"0.617"	"1.250"	"0.936"	"-0.87"	"-0.70"	"0.32"	"-0.10"	"0.0251586520205815"	"0.130026423062406"	"0.0839474270827729"	"0.553957004938925"	"0.139774805006106"	"0.462271442156851"	"0.375485778502015"	"0.859695480991884"	"66.00"	"78.23"	"50.82"	"27.03"	"22.8051781931588"	"22.9967257764592"	"23.1451413238007"	"23.2985307281315"	"8104279.29331772"	"5202633.31904495"	"6209431.31613418"	"6812758.62397303"	"4429860.59755236"	"3183474.90625"	"5434882.08609239"	"6044092.13333161"	"7266898.17907795"	"6062956.37006387"	"6465731.71616061"	"6750021.92400003"	"5934506.19062935"	"7172103.56395855"	"7030387.16061827"	"2410172.21730598"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"P33174"	"Chromosome-associated kinesin KIF4 [OS=Mus musculus]"	"0.000"	"23.570"	"4"	"4"	"23"	"4"	"1231"	"139.4"	"6.68"	"55.12"	"4"	"cell cycle OR cell proliferation;cell organization and biogenesis;other biological processes"	"cytosol;cytoskeleton;nucleus;other cell component"	"cytoskeletal activity;nucleic acid binding activity;other molecular function"	"Pf00225"	"16571"	"Kif4"	"mmu:16571; P33174; Q80YP3"	"ENSMUSG00000034311"	""	"COPI-dependent Golgi-to-ER retrograde traffic; MHC class II antigen presentation; Kinesins; Recycling pathway of L1"	"4"	"0"	"1.464"	"1.120"	"0.525"	"0.665"	"0.55"	"0.16"	"-0.93"	"-0.59"	"0.551440907358799"	"0.984990532264669"	"0.00502675844747569"	"0.105781320903092"	"0.855291005496092"	"0.997232985929194"	"0.0432901436446787"	"0.464152594495487"	"64.31"	"55.14"	"64.67"	"71.10"	"21.9153328303505"	"21.4508271130546"	"22.1062696713086"	"21.7081449869401"	"3513861.67388356"	"1524049.55311583"	"1283620.63555648"	"1070506.70131039"	"3045177.3358501"	"3748145.0625"	"3713922.31144492"	"3681955.5906581"	"921767.714230243"	"2885691.32055596"	"3274516.76068249"	"2806225.55899304"	"900247.486824696"	"2920366.28360538"	"1787198.13674251"	"1710605.16447182"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"Peak Found"	"1"	""
"False"	"High"	"IsMasterProtein"	"Q5F2E7"	"FMR1-interacting protein NUFIP2 [OS=Mus musculus]"	"0.000"	"23.530"	"8"	"4"	"33"	"4"	"692"	"75.6"	"8.70"	"50.96"	"4"	""	"cytosol;translational apparatus;nucleus;other cell component"	"nucleic acid binding activity"	"Pf15293"	"68564"	"Nufip2"	"mmu:68564; Q3TCE2; Q3V195; Q5F2E7; Q80TF1"	"ENSMUSG00000037857"	""	""	"0"	"0"	"1.838"	"2.181"	"0.875"	"0.796"	"0.88"	"1.12"	"-0.19"	"-0.33"	"0.154807187086899"	"0.0365753158117335"	"0.711292727502356"	"0.137958866334935"	"0.507251571523472"	"0.204898611145207"	"0.9240132917873"	"0.532545914677695"	"28.80"	"35.82"	"31.26"	"34.68"	"22.4141828610435"	"22.4578526680549"	"22.9609930878741"	"22.9910286584322"	"4687307.42797656"	"1827289.79848593"	"1524081.60480653"	"1831104.09422622"	"4552310.38439189"	"4459576.5"	"6261578.27015184"	"5647126.04545688"	"6618954.55436203"	"6266367.34111944"	"6155514.37058294"	"6390711.02050216"	"2332771.5964818"	"6327937.68895332"	"5850309.27532494"	"4100707.62767269"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"Q91YE6"	"Importin-9 [OS=Mus musculus]"	"0.000"	"23.382"	"4"	"2"	"30"	"2"	"1041"	"116.0"	"4.81"	"128.15"	"2"	"transport;other biological processes"	"cytosol;nucleus;other cell component"	"other molecular function"	"Pf03810"	""	"Ipo9"	"Q91YE6; Q924M3; Q924M4"	""	""	""	"0"	"0"	"1.519"	"1.246"	"0.811"	"1.059"	"0.60"	"0.32"	"-0.30"	"0.08"	"0.38102173456609"	"0.652284687518743"	"0.412277494981702"	"0.828710065756936"	"0.77104369628292"	"0.890654280024602"	"0.79364902626088"	"0.958763386624688"	"42.54"	"38.99"	"25.84"	"21.56"	"22.6575357853924"	"22.2534217317649"	"23.0522983532682"	"22.7557216442456"	"2618900.80057074"	"3067075.96970237"	"8816134.89327585"	"3927232.20525335"	"5867287.18716275"	"4342795.625"	"6065146.26898123"	"5317175.81414799"	"4956864.48872628"	"4312934.89312962"	"3773147.1283428"	"4242852.47858414"	"4577352.80524849"	"4486346.48784001"	"5496852.27131036"	"1521241.65626792"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term]"
"False"	"High"	"IsMasterProtein"	"Q61749"	"Translation initiation factor eIF-2B subunit delta [OS=Mus musculus]"	"0.000"	"23.376"	"12"	"5"	"28"	"5"	"524"	"57.6"	"9.25"	"65.49"	"5"	"protein metabolism;other metabolic processes;stress response;developmental processes;signal transduction;other biological processes"	"translational apparatus;other cell component"	"enzyme regulator activity;nucleic acid binding activity;other molecular function"	"Pf01008"	"13667"	"Eif2b4"	"mmu:13667; Q3TYW7; Q61748; Q61749; Q8VC35"	"ENSMUSG00000029145"	"Translation factors"	"Recycling of eIF2:GDP"	"2"	"0"	"0.988"	"0.894"	"0.812"	"1.057"	"-0.02"	"-0.16"	"-0.30"	"0.08"	"0.702260969469676"	"0.654532193415262"	"0.393006543749253"	"0.844052844272055"	"0.922115890623362"	"0.892308431466394"	"0.79364902626088"	"0.96355486787392"	"51.84"	"76.92"	"36.71"	"29.41"	"23.0162677506709"	"22.6209623499109"	"23.2125582719792"	"22.873973323853"	"6224754.87245169"	"2968472.42037828"	"10940493.6929639"	"4379248.11878966"	"5136552.58956969"	"6724850.25"	"6493987.30211129"	"6403414.0106121"	"5155863.3304745"	"4721413.30694739"	"5282572.12057003"	"4243234.43879946"	"4952349.20306127"	"4627369.90559489"	"5212383.65505408"	"3978483.09265022"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term]"
"False"	"High"	"IsMasterProtein"	"Q5SWD9-2"	"Isoform 2 of Pre-rRNA-processing protein TSR1 homolog [OS=Mus musculus]"	"0.000"	"23.319"	"8"	"6"	"58"	"1"	"681"	"78.4"	"5.58"	"67.86"	"6"	""	""	""	""	""	"Tsr1"	"Q5SWD9-2"	""	""	""	"0"	"0"	"5.070"	"4.573"	"1.027"	"1.132"	"2.34"	"2.19"	"0.04"	"0.18"	"0.00321202247648222"	"0.00831524256138327"	"0.524417113230282"	"0.548541091910796"	"0.0235024368013242"	"0.0599976945997808"	"0.838064505077874"	"0.858424037905118"	"7.72"	"4.91"	"16.76"	"16.77"	"21.0670899379541"	"20.7470415192662"	"21.8168596883212"	"21.6351876667224"	"433460.02648579"	""	""	""	"2333583.27079521"	"2290054.5"	"2108616.65261969"	"1921348.51887041"	"2078513.73113904"	"1841614.07403648"	"2017419.75342961"	"1947901.0811645"	"2595639.47166085"	"2063662.19885416"	"1891673.50139682"	"2374806.37795698"	"Peak Found"	"n/a"	"n/a"	"n/a"	"Peak Found"	"High"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"1"	""
"False"	"High"	"IsMasterProtein"	"P16254"	"Signal recognition particle 14 kDa protein [OS=Mus musculus]"	"0.000"	"23.257"	"41"	"4"	"24"	"4"	"110"	"12.5"	"10.17"	"42.78"	"4"	"transport"	"translational apparatus;nucleus"	"nucleic acid binding activity;other molecular function"	"Pf02290"	"20813"	"Srp14"	"mmu:20813; P16254; Q3TIK2"	"ENSMUSG00000009549"	"mRNA processing"	"Neutrophil degranulation; SRP-dependent cotranslational protein targeting to membrane"	"3"	"0"	"1.138"	"1.082"	"0.922"	"0.982"	"0.19"	"0.11"	"-0.12"	"-0.03"	"0.898097784362917"	"0.804929453111586"	"0.893026596376843"	"0.746911559061937"	"0.972774261550889"	"0.949406143905695"	"0.972219520961204"	"0.93324904767183"	"32.02"	"40.93"	"28.60"	"25.08"	"23.4552526801093"	"23.1861159975012"	"23.7760939024161"	"23.5647798876615"	"9923326.35362322"	"5899845.00869444"	"5973675.22932386"	"6345652.1806724"	"7896589.82646635"	"10727370.75"	"10092008.5773569"	"8880708.64610864"	"7598953.33206365"	"8690408.92756493"	"6361720.4158686"	"8055886.75837472"	"6805152.85675022"	"7986387.83406551"	"7984171.64573487"	"8483902.68276715"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss [N-Term]"
"False"	"High"	"IsMasterProtein"	"P26350"	"Prothymosin alpha [OS=Mus musculus]"	"0.000"	"23.221"	"34"	"3"	"83"	"3"	"111"	"12.2"	"3.79"	"201.76"	"3"	"cell organization and biogenesis;other biological processes"	"cytosol;nucleus"	"other molecular function"	"Pf03247"	"19231"	"Ptma"	"mmu:19231; P26350; Q3UQV6"	"ENSMUSG00000026238"	""	""	"0"	"0"	"1.909"	"1.284"	"0.319"	"0.476"	"0.93"	"0.36"	"-1.65"	"-1.07"	"0.114929973472895"	"0.612955811778578"	"2.65238231378362E-09"	"0.00115862759597851"	"0.416046503971881"	"0.868984679661399"	"4.35191827977199E-08"	"0.0146462411491643"	"37.70"	"36.90"	"45.00"	"45.93"	"22.6641102611858"	"22.0546802655723"	"22.6099440112639"	"21.9712041998889"	"5248882.80127739"	"2835907.31962074"	"3452781.10176249"	"3020095.98696983"	"4580848.19916264"	"5354579.625"	"5961548.53377317"	"5556452.91533781"	"3280199.95149498"	"3445273.57258148"	"3484429.11405734"	"5601458.57933066"	"1405571.83583748"	"2535050.00499305"	"2093032.72555013"	"421342.525931858"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term]"
"False"	"High"	"IsMasterProtein"	"Q9CQS5"	"Serine/threonine-protein kinase RIO2 [OS=Mus musculus]"	"0.000"	"23.215"	"9"	"4"	"23"	"4"	"547"	"62.5"	"6.43"	"45.91"	"4"	"protein metabolism;RNA metabolism OR transcription;other metabolic processes;other biological processes"	"cytosol;nucleus;other cell component"	"kinase activity;other molecular function"	"Pf01163, Pf09202"	"67045"	"Riok2"	"mmu:67045; Q91XF3; Q9CQS5"	"ENSMUSG00000116564"	""	"Major pathway of rRNA processing in the nucleolus and cytosol"	"1"	"0"	"1.296"	"2.334"	"0.942"	"0.864"	"0.37"	"1.22"	"-0.09"	"-0.21"	"0.850300799782254"	"0.138297912000178"	"0.838502320135122"	"0.535287322501199"	"0.95686663954554"	"0.480248616373195"	"0.958428648173235"	"0.85586843464339"	"71.55"	"78.34"	"35.29"	"24.59"	"21.3193717933435"	"21.287976507647"	"22.060748059066"	"22.042050614257"	"1385652.33224844"	""	""	"474988.964627147"	"1709980.04274125"	"2823796.78125"	"2721620.91023443"	"2240643.09892795"	"3584954.63805715"	"2925612.55641045"	"2594296.77491699"	"2631230.3263151"	"2661735.48521063"	"2561696.04624484"	"3361301.89625762"	"747669.948114252"	"Peak Found"	"n/a"	"n/a"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"Q8BI72"	"CDKN2A-interacting protein [OS=Mus musculus]"	"0.000"	"23.185"	"11"	"4"	"13"	"4"	"563"	"59.7"	"9.16"	"28.50"	"4"	"stress response;other biological processes"	"nucleus"	"nucleic acid binding activity;other molecular function"	"Pf11952"	"70925"	"Cdkn2aip"	"mmu:70925; Q8BI72"	"ENSMUSG00000038069"	""	""	"0"	"0"	"1.578"	"1.642"	"0.812"	"0.582"	"0.66"	"0.72"	"-0.30"	"-0.78"	"0.555450373468642"	"0.501718408384089"	"0.708737253380847"	"0.060916505084696"	"0.855291005496092"	"0.809185354346061"	"0.921731168746992"	"0.337978873066376"	"45.77"	"64.36"	"68.67"	"87.60"	"21.0809099461001"	"20.4544980864295"	"21.5944829414414"	"21.1857389341161"	"1448034.84544357"	"1214416.30851455"	"954992.09463819"	"968923.367566656"	"2080823.02723735"	"1170614.5"	"2014690.37651666"	"1796621.89674302"	"539744.547221562"	"1069340.857004"	"2420786.62211361"	"1286832.47424034"	"1335969.66586156"	"1818094.56093296"	"1744855.68316307"	""	"Peak Found"	"High"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"1"	"Met-loss+Acetyl [N-Term]"
"False"	"High"	"IsMasterProtein"	"Q9CZE3"	"Ras-related protein Rab-32 [OS=Mus musculus]"	"0.000"	"23.110"	"20"	"3"	"38"	"3"	"223"	"25.1"	"6.68"	"75.48"	"3"	"cell organization and biogenesis;transport;other biological processes"	"other membranes;mitochondrion;ER/Golgi;other cytoplasmic organelle;other cell component"	"other molecular function"	"Pf00071"	"67844"	"Rab32"	"mmu:67844; Q3TXU7; Q8BVD3; Q91YN4; Q9CZE3"	"ENSMUSG00000019832"	""	"RAB GEFs exchange GTP for GDP on RABs; RAB geranylgeranylation"	"2"	"0"	"1.028"	"0.804"	"0.596"	"0.810"	"0.04"	"-0.31"	"-0.75"	"-0.30"	"0.720298347840414"	"0.560529319060059"	"0.0677551044228533"	"0.468372997503362"	"0.930467744242256"	"0.83557918830026"	"0.324437304995737"	"0.815517262555047"	"52.65"	"66.19"	"82.48"	"60.64"	"21.4703300881113"	"20.9166132147047"	"21.8857396284068"	"21.4917244132621"	"2283563.50213354"	"1084299.51382956"	"422795.827167056"	"422599.532909365"	"2756875.09890408"	"2792436.078125"	"2769767.59954237"	"3051812.24300272"	"1893411.01419972"	"2210142.58315524"	"2020507.19647416"	"2373271.35207969"	"1369648.42971196"	"1767136.33750352"	"2132464.65333314"	"1086663.83399552"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term]"
"False"	"High"	"IsMasterProtein"	"Q569Z6"	"Thyroid hormone receptor-associated protein 3 [OS=Mus musculus]"	"0.000"	"23.032"	"5"	"4"	"15"	"4"	"951"	"108.1"	"10.17"	"27.75"	"4"	"RNA metabolism OR transcription;other metabolic processes;other biological processes"	"nucleus"	"nucleic acid binding activity;other molecular function"	"Pf15440"	"230753"	"Thrap3"	"mmu:230753; Q569Z6"	"ENSMUSG00000043962"	""	""	"0"	"0"	"3.564"	"4.406"	"0.495"	"0.504"	"1.83"	"2.14"	"-1.01"	"-0.99"	"0.00550551077964356"	"0.0067534787282495"	"0.000961784629487594"	"0.00255142846122292"	"0.0381722813935367"	"0.0500338370297194"	"0.0100595117440666"	"0.0302576619232999"	"62.26"	"64.99"	"73.62"	"46.56"	"21.7806165186856"	"21.2133885111711"	"22.3539068168202"	"21.9982510688624"	"651123.21105641"	"195359.150246544"	""	"538820.894923282"	"2044159.60502905"	"3832177.34375"	"3673211.31427765"	"4318961.18935178"	"4483230.31167886"	"2404663.76357831"	"3445732.74773518"	"2287187.83941956"	"2943700.26294166"	"2000675.79711976"	"4433769.32036204"	"387858.516310564"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"O70318"	"Band 4.1-like protein 2 [OS=Mus musculus]"	"0.000"	"23.004"	"6"	"5"	"8"	"5"	"988"	"109.9"	"5.43"	"13.53"	"5"	"cell cycle OR cell proliferation;cell organization and biogenesis;other biological processes"	"plasma membrane;other membranes;cytoskeleton;nucleus;other cell component"	"cytoskeletal activity;other molecular function"	"Pf00373, Pf04382, Pf05902, Pf08736, Pf09379, Pf09380"	"13822"	"Epb41l2"	"G3X9B8; mmu:13822; O70318"	"ENSMUSG00000019978"	"Splicing factor NOVA regulated synaptic proteins"	"Neurexins and neuroligins"	"2"	"0"	"0.382"	"0.341"	"0.946"	"1.285"	"-1.39"	"-1.55"	"-0.08"	"0.36"	"0.00548488026566418"	"0.00832478897494782"	"0.776375087292718"	"0.261541686928483"	"0.0381060671386245"	"0.0599976945997808"	"0.938711909430201"	"0.671063465866316"	"39.23"	"26.84"	"45.96"	"40.63"	"21.7840640276173"	"21.6127975694088"	"21.2692618179646"	"21.0178334276755"	"7092695.3411299"	"2823142.58117726"	"4087503.1788492"	"3976796.76951732"	"1698738.44701986"	"1103090.78125"	"2451098.91463042"	"1687246.99888878"	"1682040.52753476"	"1407241.86635433"	"525754.987850443"	"1628551.5844981"	"727128.199293412"	"1809003.98280508"	"2199419.86248172"	"518385.930226383"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"Peak Found"	"1"	""
"False"	"High"	"IsMasterProtein"	"Q91WT8"	"RNA-binding protein 47 [OS=Mus musculus]"	"0.000"	"22.961"	"8"	"3"	"11"	"3"	"590"	"64.0"	"8.19"	"37.01"	"3"	"RNA metabolism OR transcription;other metabolic processes;other biological processes"	"nucleus"	"nucleic acid binding activity"	"Pf00076"	"245945"	"Rbm47"	"mmu:245945; Q3UQC7; Q8BZE8; Q91WT8"	"ENSMUSG00000070780"	"mRNA processing; Tyrobp causal network in microglia"	""	"2"	"0"	"1.584"	"1.022"	"0.511"	"0.722"	"0.66"	"0.03"	"-0.97"	"-0.47"	"0.494946302023348"	"0.889711264513143"	"0.017475592516869"	"0.284180368419235"	"0.829489413314995"	"0.981333794944531"	"0.119566208089724"	"0.684850873893003"	"19.64"	"14.92"	"56.21"	"50.38"	"21.5001137312889"	"20.9522221029925"	"21.6209350887941"	"21.1256138592376"	"1620239.57777136"	"1169667.70892925"	"1051990.26356608"	"1008523.90363107"	"2167740.31460316"	"2738778.3125"	"2731623.57197795"	"3549291.12606613"	"1403880.07920338"	"1984955.95937352"	"2059963.34257258"	"2232819.59270689"	"834053.102016155"	"2310163.85769795"	"1005124.12312761"	"1262951.32110518"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"1"	"Met-loss [N-Term]"
"False"	"High"	"IsMasterProtein"	"O54988"	"STE20-like serine/threonine-protein kinase [OS=Mus musculus]"	"0.000"	"22.912"	"4"	"4"	"37"	"4"	"1233"	"141.4"	"5.14"	"65.44"	"4"	"cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;other biological processes"	"other cell component"	"kinase activity;other molecular function"	"Pf00069, Pf12474"	"20874"	"Slk"	"A2RRK4; mmu:20874; O54988; Q80U65; Q8CAU2; Q8CDW2; Q9WU41"	"ENSMUSG00000025060"	""	"RHOA GTPase cycle; RHOB GTPase cycle; RHOC GTPase cycle"	"3"	"0"	"1.836"	"1.773"	"0.811"	"0.800"	"0.88"	"0.83"	"-0.30"	"-0.32"	"0.388010518140805"	"0.368596464486278"	"0.740395783177227"	"0.488084006076755"	"0.775150172616666"	"0.741181796185743"	"0.932891124757296"	"0.829251365669096"	"41.07"	"50.40"	"51.09"	"46.19"	"21.0071926015139"	"20.9298952505444"	"21.4369619400678"	"21.3799773421903"	"1144224.73562911"	"454673.686716391"	""	""	"1823292.92455112"	"2094957.09375"	"2381075.27083305"	"1620725.91218424"	"1054485.1632508"	"2807204.08786227"	"2169152.88752947"	"2075688.20136846"	"1738720.96715597"	"1879600.01917821"	"1055813.12782965"	"797209.704403645"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"P57784"	"U2 small nuclear ribonucleoprotein A' [OS=Mus musculus]"	"0.000"	"22.896"	"19"	"4"	"40"	"4"	"255"	"28.3"	"8.62"	"90.52"	"4"	"RNA metabolism OR transcription;other metabolic processes;other biological processes"	"nucleus"	"nucleic acid binding activity"	"Pf14580"	"68981"	"Snrpa1"	"mmu:68981; P57784; Q3U7R8; Q8K2W4; Q91YW1; Q9JKQ3"	"ENSMUSG00000030512"	"mRNA processing"	"mRNA Splicing - Major Pathway"	"2"	"0"	"1.735"	"1.359"	"0.948"	"1.151"	"0.80"	"0.44"	"-0.08"	"0.20"	"0.118082258650814"	"0.336554018646565"	"0.977278371685646"	"0.472495773652825"	"0.425219777487067"	"0.723286708819349"	"0.992840015945627"	"0.819388399435125"	"67.99"	"67.42"	"16.47"	"16.71"	"23.4528235784681"	"23.0732688963364"	"23.9251772530143"	"23.6620222098732"	"7471061.12434741"	"5709510.0963237"	"5675023.63031067"	"5745243.65953918"	"10001842.470555"	"8585199"	"10902088.3087357"	"8874965.05154129"	"8178887.71704137"	"7803052.33924527"	"7391013.69936129"	"7651206.42846699"	"9092003.95960725"	"8438934.32061754"	"9357729.7113694"	"8733651.64091209"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"O35326"	"Serine/arginine-rich splicing factor 5 [OS=Mus musculus]"	"0.000"	"22.891"	"16"	"4"	"24"	"3"	"269"	"30.9"	"11.56"	"37.38"	"4"	"RNA metabolism OR transcription;other metabolic processes;stress response;other biological processes"	"cytosol;nucleus"	"nucleic acid binding activity;other molecular function"	"Pf00076"	"20384"	"Srsf5"	"mmu:20384; O35326; Q640L9"	"ENSMUSG00000021134"	"mRNA processing"	"mRNA Splicing - Major Pathway; Transport of Mature mRNA derived from an Intron-Containing Transcript; mRNA 3'-end processing; RNA Polymerase II Transcription Termination"	"6"	"0"	"1.784"	"1.383"	"0.797"	"1.060"	"0.83"	"0.47"	"-0.33"	"0.08"	"0.20419009519629"	"0.526638922371379"	"0.378166140274807"	"0.798281673301825"	"0.597117123622483"	"0.8238776006285"	"0.787467161036106"	"0.943771858364028"	"20.17"	"24.20"	"12.78"	"17.87"	"22.3668890809482"	"21.900168761522"	"22.7764641629309"	"22.4398897139087"	"2597826.2721215"	"2521785.22544355"	""	"2339698.2236271"	"4866544.27922268"	"4600506.359375"	"4743500.21761288"	"4249221.21395896"	"3661663.3566005"	"3319282.30355287"	"3178393.41420292"	"3760515.99918516"	"3517978.23902493"	"3651339.07166746"	"3821753.53237157"	"3346575.13614309"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"1"	""
